t,g,target_sum,c_pi,c_side,g_over_t,c_pi_over_t,c_side_over_t,pi_fixed_fraction,plus_fixed_fraction,minus_fixed_fraction,pi_largest_fraction,plus_largest_fraction,minus_largest_fraction,pi_small_cycle_hist,plus_small_cycle_hist,minus_small_cycle_hist
35,45,87,64,23,1.2857142857142858,1.8285714285714285,0.6571428571428571,0.09523809523809523,0.01904761904761905,0.014285714285714285,0.1,0.14761904761904762,0.38095238095238093,1:20;2:16;3:12;4:2;5:3;6:3,1:4;2:4;3:1;4:1;5:1;6:1,1:3;2:3;3:4;4:1;5:1;6:3
36,45,92,72,20,1.25,2.0,0.5555555555555556,0.12962962962962962,0.009259259259259259,0.032407407407407406,0.06944444444444445,0.22685185185185186,0.17592592592592593,1:28;2:14;3:9;4:6;5:5;6:2,1:2;2:3;3:5;4:0;5:2;6:0,1:7;2:1;3:1;4:0;5:2;6:0
36,46,90,71,19,1.2777777777777777,1.9722222222222223,0.5277777777777778,0.1388888888888889,0.004629629629629629,0.013888888888888888,0.08333333333333333,0.10648148148148148,0.18055555555555555,1:30;2:16;3:9;4:5;5:3;6:2,1:1;2:1;3:1;4:1;5:1;6:2,1:3;2:3;3:1;4:0;5:0;6:1
37,46,95,76,19,1.2432432432432432,2.054054054054054,0.5135135135135135,0.13063063063063063,0.02252252252252252,0.018018018018018018,0.05405405405405406,0.509009009009009,0.18018018018018017,1:29;2:15;3:8;4:10;5:4;6:2,1:5;2:0;3:2;4:2;5:0;6:2,1:4;2:0;3:3;4:0;5:0;6:2
37,47,93,71,22,1.2702702702702702,1.9189189189189189,0.5945945945945946,0.12162162162162163,0.018018018018018018,0.02702702702702703,0.06756756756756757,0.13963963963963963,0.31981981981981983,1:27;2:13;3:9;4:8;5:5;6:3,1:4;2:3;3:1;4:0;5:0;6:1,1:6;2:4;3:1;4:1;5:0;6:1
37,48,91,71,20,1.2972972972972974,1.9189189189189189,0.5405405405405406,0.12162162162162163,0.009009009009009009,0.02252252252252252,0.06306306306306306,0.21621621621621623,0.22522522522522523,1:27;2:17;3:7;4:5;5:2;6:5,1:2;2:1;3:1;4:1;5:4;6:1,1:5;2:1;3:2;4:4;5:0;6:1
38,47,98,77,21,1.236842105263158,2.026315789473684,0.5526315789473685,0.13157894736842105,0.03070175438596491,0.03508771929824561,0.07017543859649122,0.2412280701754386,0.16228070175438597,1:30;2:17;3:11;4:4;5:5;6:3,1:7;2:2;3:0;4:0;5:0;6:1,1:8;2:0;3:1;4:1;5:0;6:0
38,48,96,77,19,1.263157894736842,2.026315789473684,0.5,0.15789473684210525,0.0043859649122807015,0.0043859649122807015,0.11842105263157894,0.2412280701754386,0.18421052631578946,1:36;2:14;3:12;4:3;5:4;6:2,1:1;2:3;3:4;4:2;5:2;6:0,1:1;2:3;3:3;4:0;5:1;6:0
38,49,94,74,20,1.2894736842105263,1.9473684210526316,0.5263157894736842,0.09210526315789473,0.03508771929824561,0.008771929824561403,0.05263157894736842,0.3201754385964912,0.25877192982456143,1:21;2:20;3:8;4:11;5:5;6:4,1:8;2:0;3:0;4:0;5:1;6:1,1:2;2:4;3:3;4:0;5:0;6:1
39,48,101,78,23,1.2307692307692308,2.0,0.5897435897435898,0.14102564102564102,0.017094017094017096,0.021367521367521368,0.06837606837606838,0.3076923076923077,0.26495726495726496,1:33;2:11;3:15;4:5;5:3;6:3,1:4;2:4;3:3;4:0;5:2;6:1,1:5;2:2;3:2;4:1;5:2;6:1
39,49,99,79,20,1.2564102564102564,2.0256410256410255,0.5128205128205128,0.11538461538461539,0.017094017094017096,0.017094017094017096,0.05555555555555555,0.19230769230769232,0.36752136752136755,1:27;2:20;3:11;4:6;5:5;6:3,1:4;2:4;3:0;4:1;5:2;6:1,1:4;2:0;3:0;4:5;5:0;6:0
39,50,97,74,23,1.2820512820512822,1.8974358974358974,0.5897435897435898,0.12393162393162394,0.017094017094017096,0.021367521367521368,0.06837606837606838,0.37606837606837606,0.2606837606837607,1:29;2:13;3:12;4:5;5:3;6:3,1:4;2:1;3:3;4:0;5:6;6:2,1:5;2:4;3:3;4:1;5:0;6:0
40,49,104,84,20,1.225,2.1,0.5,0.15,0.025,0.025,0.07916666666666666,0.31666666666666665,0.5166666666666667,1:36;2:16;3:11;4:11;5:2;6:0,1:6;2:1;3:1;4:3;5:0;6:0,1:6;2:4;3:0;4:4;5:1;6:1
40,50,102,83,19,1.25,2.075,0.475,0.12916666666666668,0.0125,0.008333333333333333,0.05,0.4041666666666667,0.19583333333333333,1:31;2:21;3:7;4:8;5:2;6:8,1:3;2:4;3:1;4:1;5:1;6:3,1:2;2:1;3:3;4:1;5:0;6:0
40,51,100,80,20,1.275,2.0,0.5,0.12083333333333333,0.008333333333333333,0.0125,0.075,0.20833333333333334,0.20833333333333334,1:29;2:19;3:10;4:6;5:4;6:6,1:2;2:4;3:1;4:2;5:0;6:1,1:3;2:1;3:2;4:1;5:0;6:2
