source_row,source_t,source_g,source_p,source_q,target_t,target_g,target_p,target_q,old_domain,new_domain_offset,new_domain,checked,hit_count,first_hit_perm,best_score,best_c_pi,best_c_gamma_pi,best_c_pi_gamma_inv,best_plus,best_minus,best_g_plus,best_g_minus,best_components
7,41,51,53,52,42,52,54,54,137,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,138,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,139,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,140,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,141,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,142,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,143,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,144,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,145,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,146,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,147,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,148,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,149,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,150,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,151,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,152,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,153,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,154,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,155,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,156,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,157,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,158,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,159,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,160,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,161,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,162,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,163,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,164,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,165,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
7,41,51,53,52,42,52,54,54,166,0,246,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
